input_id,original_text,bias_category,bias_score,confidence_interval_lower,confidence_interval_upper,confidence_level,bayesian_evidence,prior_strength,posterior_mean,posterior_variance,bias_explanation,severity_level,recommendations,processing_timestamp,model_version
1,The best programmers are those who started coding as kids,subjective_bias,0.1106968137479519,0.0,0.5661512860253496,0.95,0.576,0.7,0.3116883116883116,0.06,"Text presents subjective opinions as facts, potentially introducing unfair bias. Particularly relevant to: age, socioeconomic",low,Consider: Present information more objectively; distinguish between facts and opinions,2025-07-09T08:04:55.753091,v1.0.0
2,Our target demographic is educated professionals in urban areas,positive_bias,0.06793520068781393,0.0,0.5233896729652115,0.95,0.1,0.5,0.04545454545454545,0.05,"Text shows overly positive sentiment that may indicate favoritism or unrealistic expectations. Particularly relevant to: education, class, geographic",low,Consider: Consider more balanced language; avoid excessive positive claims,2025-07-09T08:04:55.755150,v1.0.0
3,We need someone who can work long hours and handle pressure,subjective_bias,0.1748892408194804,0.0,0.6303437130968781,0.95,0.768,0.6,0.5245901639344263,0.06,"Text presents subjective opinions as facts, potentially introducing unfair bias. Particularly relevant to: age, ability, work_culture",low,Consider: Present information more objectively; distinguish between facts and opinions,2025-07-09T08:04:55.755811,v1.0.0
4,This feature is intuitive - even non-technical users can figure it out,positive_bias,0.06793520068781393,0.0,0.5233896729652115,0.95,0.1,0.8,0.04545454545454545,0.05,"Text shows overly positive sentiment that may indicate favoritism or unrealistic expectations. Particularly relevant to: technical_ability, condescension",low,Consider: Consider more balanced language; avoid excessive positive claims,2025-07-09T08:04:55.756171,v1.0.0
5,Mothers returning to work might struggle with the demanding schedule,positive_bias,0.05523747661916902,0.0,0.5106919488965667,0.95,0.1,0.9,0.04545454545454545,0.05,"Text shows overly positive sentiment that may indicate favoritism or unrealistic expectations. Particularly relevant to: gender, parental_status",low,Consider: Consider more balanced language; avoid excessive positive claims,2025-07-09T08:04:55.756596,v1.0.0
6,We should hire diverse candidates to improve our image,positive_bias,0.06600660050940978,0.0,0.5214610727868074,0.95,0.21280000000000002,0.7,0.10382513661202188,0.05,"Text shows overly positive sentiment that may indicate favoritism or unrealistic expectations. Particularly relevant to: tokenism, diversity",low,Consider: Consider more balanced language; avoid excessive positive claims,2025-07-09T08:04:55.756955,v1.0.0
7,Senior engineers don't adapt well to new frameworks,subjective_bias,0.21197507425437928,0.0,0.667429546531777,0.95,0.8727272727272727,0.6,0.6956521739130433,0.06,"Text presents subjective opinions as facts, potentially introducing unfair bias. Particularly relevant to: age, learning_ability",low,Consider: Present information more objectively; distinguish between facts and opinions,2025-07-09T08:04:55.757348,v1.0.0
8,Entry-level positions require high energy and enthusiasm,subjective_bias,0.1980077729559215,0.0,0.6534622452333192,0.95,0.8424,0.4,0.6405109489051095,0.06,"Text presents subjective opinions as facts, potentially introducing unfair bias. Particularly relevant to: age, ableism",low,Consider: Present information more objectively; distinguish between facts and opinions,2025-07-09T08:04:55.757727,v1.0.0
9,"Our AI model works best with clean, professional data",subjective_bias,0.147770675364098,0.0,0.6032251476414956,0.95,0.7040000000000001,0.3,0.442211055276382,0.06,"Text presents subjective opinions as facts, potentially introducing unfair bias. Particularly relevant to: class, appearance",low,Consider: Present information more objectively; distinguish between facts and opinions,2025-07-09T08:04:55.758140,v1.0.0
10,International candidates may have communication challenges,positive_bias,0.0678051712672154,0.0,0.5232596435446131,0.95,0.103,0.8,0.04690346083788706,0.05,"Text shows overly positive sentiment that may indicate favoritism or unrealistic expectations. Particularly relevant to: nationality, language, xenophobia",low,Consider: Consider more balanced language; avoid excessive positive claims,2025-07-09T08:04:55.758532,v1.0.0
