id,text,text_type,source_context,suspected_bias_categories,confidence_prior,metadata,mu_llm,sigma_llm,mu_prior,sigma_prior
1,The best programmers are those who started coding as kids,statement,job_description,"age,socioeconomic",0.7,"{""company"": ""TechCorp"", ""role"": ""senior_dev"", ""department"": ""engineering""}",0.55,0.1,0.0,1000.0004999998749
2,Our target demographic is educated professionals in urban areas,statement,marketing_copy,"education,class,geographic",0.5,"{""campaign"": ""Q1_launch"", ""product"": ""mobile_app"", ""team"": ""marketing""}",0.45,0.08,-0.1727867785323881,0.0020148698350334116
3,We need someone who can work long hours and handle pressure,requirement,hiring_criteria,"age,ability,work_culture",0.6,"{""position"": ""startup_developer"", ""stage"": ""series_A"", ""urgency"": ""high""}",0.6,0.12,-0.1836251050843085,0.013331407731487024
4,This feature is intuitive - even non-technical users can figure it out,statement,product_review,"technical_ability,condescension",0.8,"{""feature"": ""ui_redesign"", ""reviewer"": ""product_manager"", ""version"": ""2.1""}",0.5,0.07,-0.18439900056661268,0.010340044282712594
5,Mothers returning to work might struggle with the demanding schedule,concern,hr_discussion,"gender,parental_status",0.9,"{""context"": ""return_to_work_policy"", ""department"": ""hr"", ""policy_type"": ""parental_leave""}",0.65,0.15,-0.1856701334648632,0.0090130383919965
6,We should hire diverse candidates to improve our image,statement,diversity_initiative,"tokenism,diversity",0.7,"{""initiative"": ""dei_program"", ""quarter"": ""Q2_2024"", ""stakeholder"": ""executive""}",0.4,0.06,-0.18563551238360543,0.0078989957552795
7,Senior engineers don't adapt well to new frameworks,assumption,technical_planning,"age,learning_ability",0.6,"{""framework"": ""react"", ""migration"": ""legacy_system"", ""team_size"": ""12""}",0.7,0.09,-0.18626153945614685,0.007268902798419505
8,Entry-level positions require high energy and enthusiasm,requirement,job_posting,"age,ableism",0.4,"{""role"": ""junior_developer"", ""team"": ""frontend"", ""posted_date"": ""2024-01-10""}",0.35,0.05,-0.18673049233672945,0.006772928046953385
9,"Our AI model works best with clean, professional data",statement,technical_specification,"class,appearance",0.3,"{""model"": ""image_classifier"", ""use_case"": ""resume_screening"", ""accuracy"": ""94%""}",0.8,0.11,-0.18701576704268913,0.006336576625863537
10,International candidates may have communication challenges,concern,hiring_discussion,"nationality,language,xenophobia",0.8,"{""role"": ""client_facing"", ""visa_required"": ""true"", ""team"": ""sales""}",0.3,0.04,-0.1875545849055956,0.006150681641363653
